rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,category,designer
2742,https://boardgamegeek.com/boardgame/209660/dungeon-alliance,Dungeon Alliance,1,4,180,60,180,2018,8.12295,5.86167,224,https://cf.geekdo-images.com/original/img/q8sFuP5JyTgq1KFXFw6ojJ2CksA=/0x0/pic3285236.jpg,12,"Action Point Allowance System, Card Drafting, Co-operative Play, Deck / Pool Building, Grid Movement, Hand Management, Modular Board, Tile Placement","Adventure, Exploration, Fantasy, Fighting, Miniatures",Andrew Parks
2743,https://boardgamegeek.com/boardgame/63167/undermining,Undermining,2,5,45,45,45,2011,6.43615,5.86154,719,https://cf.geekdo-images.com/original/img/FXcJDvoec1NoRJrlmkXsOxbwF0k=/0x0/pic1069095.jpg,8,"Action Point Allowance System, Grid Movement, Pick-up and Deliver, Set Collection","Science Fiction, Space Exploration, Transportation",Matt Tolman
2744,https://boardgamegeek.com/boardgame/142/vino,Vino,3,5,90,90,90,1999,6.46827,5.8615,655,https://cf.geekdo-images.com/original/img/kMmMsxbXIV0i3dFOH_mwBA04Dhw=/0x0/pic423043.jpg,12,"Area Control / Area Influence, Commodity Speculation, Simultaneous Action Selection",Economic,Christwart Conrad
2745,https://boardgamegeek.com/boardgame/146130/coin-age,Coin Age,2,2,15,15,15,2013,6.13725,5.8613,1638,https://cf.geekdo-images.com/original/img/DxMuO00wqoNLQ_PU89coHaZwWds=/0x0/pic1753319.png,0,"Area Control / Area Influence, Area Movement, Press Your Luck","Abstract Strategy, Print & Play",Adam P. McIver
2746,https://boardgamegeek.com/boardgame/3137/anno-domini-erfindungen,Anno Domini: Erfindungen,2,8,30,30,30,1999,6.82263,5.86124,419,https://cf.geekdo-images.com/original/img/OyZFxXBrS9tImLcl4_p0ZET-G7U=/0x0/pic249392.jpg,10,none,"Bluffing, Party Game, Trivia",Urs Hostettler
2747,https://boardgamegeek.com/boardgame/103339/reluctant-enemies,Reluctant Enemies,2,2,750,750,750,2014,7.9869,5.86109,206,https://cf.geekdo-images.com/original/img/Py__JpkdihlgPSEtvnXXbWaXUho=/0x0/pic1603430.jpg,0,"Hex-and-Counter, Simulation","Wargame, World War II","Curtis Baer, Dean Essig"
2748,https://boardgamegeek.com/boardgame/231665/fast-forward-fortress,Fast Forward: FORTRESS,2,4,15,15,15,2017,6.52927,5.86077,644,https://cf.geekdo-images.com/original/img/CGw3ee-xOTJJrgyacg34y09h0ew=/0x0/pic3652008.jpg,10,"Hand Management, Press Your Luck, Set Collection, Take That","Bluffing, Card Game, Fantasy, Fighting, Humor, Math",Friedemann Friese
2749,https://boardgamegeek.com/boardgame/155702/quarriors-light-vs-dark,Quarriors! Light vs. Dark,2,4,30,30,30,2014,6.89204,5.86048,400,https://cf.geekdo-images.com/original/img/7gs2g0qYCkQ4N7Pn3DIUbeVfDpU=/0x0/pic1949648.jpg,14,"Deck / Pool Building, Dice Rolling, Set Collection","Dice, Fantasy, Fighting","Mike Elliott, Eric M. Lang"
2750,https://boardgamegeek.com/boardgame/173536/2gm-tactics,2GM Tactics,1,4,120,30,120,2015,7.82936,5.86013,343,https://cf.geekdo-images.com/original/img/Leq8mI7X37d6BtmAfCKaTKxNsSE=/0x0/pic2711760.jpg,12,"Action Point Allowance System, Campaign / Battle Card Driven, Deck / Pool Building, Dice Rolling, Grid Movement, Variable Phase Order","Card Game, Wargame, World War II",Proyecto Enigma
2751,https://boardgamegeek.com/boardgame/194789/10-minute-heist-wizards-tower,10 Minute Heist: The Wizard's Tower,2,5,10,10,10,2017,6.6553,5.85954,519,https://cf.geekdo-images.com/original/img/IEzLo1POAmIfu9lyOvXsQxtVfB0=/0x0/pic3584961.jpg,14,"Card Drafting, Modular Board, Set Collection","Card Game, Fantasy",Nick Sibicky
2752,https://boardgamegeek.com/boardgame/17104/canasta,Canasta,2,6,45,45,45,1939,6.36282,5.85942,948,https://cf.geekdo-images.com/original/img/plhxmfYhedVaErhch1NZSfUgH-Q=/0x0/pic77289.jpg,12,"Hand Management, Set Collection",Card Game,Segundo Santos
2753,https://boardgamegeek.com/boardgame/156840/clinic,Clinic,2,4,120,120,120,2014,7.22713,5.85928,289,https://cf.geekdo-images.com/original/img/CY9fNSqMuV9RcUFLz7Ipb6er07k=/0x0/pic2212910.jpg,14,"Pick-up and Deliver, Simulation, Tile Placement","City Building, Economic, Medical, Territory Building, Transportation",Alban Viard
2754,https://boardgamegeek.com/boardgame/55834/mosaix,Mosaix,1,4,20,20,20,2009,6.59693,5.85924,542,https://cf.geekdo-images.com/original/img/AgMEKGwTBXSxEP85e5kbdpS0SZ0=/0x0/pic588349.jpg,8,"Dice Rolling, Pattern Building","Dice, Puzzle",Christof Tisch
2755,https://boardgamegeek.com/boardgame/66855/dark-valley,The Dark Valley,1,2,500,500,500,2013,7.93346,5.8592,217,https://cf.geekdo-images.com/original/img/CXBwxJaLnJSz-utxY-jEOkyUSzE=/0x0/pic1850516.jpg,0,"Chit-Pull System, Hex-and-Counter","Wargame, World War II",Ted Raicer
2756,https://boardgamegeek.com/boardgame/38984/mow,Mow,2,10,15,15,15,2008,6.19869,5.85903,1234,https://cf.geekdo-images.com/original/img/oHV9MlbvIS2GRl2OmxHgt93GFhY=/0x0/pic695858.jpg,7,Hand Management,"Animals, Card Game, Humor",Bruno Cathala
2757,https://boardgamegeek.com/boardgame/42244/martinique,Martinique,2,2,30,30,30,2009,6.29306,5.85879,960,https://cf.geekdo-images.com/original/img/qVuDf4jaQQjDgVS64ogE9-mY85o=/0x0/pic514969.jpg,10,"Area Enclosure, Grid Movement, Set Collection","Bluffing, Deduction, Pirates",Emanuele Ornella
2758,https://boardgamegeek.com/boardgame/29805/petits-meurtres-faits-divers,Petits Meurtres & Faits Divers,4,7,45,45,45,2007,6.99565,5.85877,352,https://cf.geekdo-images.com/original/img/E71wtS6XFCGQRer5ySZBhr1nekg=/0x0/pic575745.jpg,12,"Acting, Storytelling","Deduction, Murder/Mystery",Hervé Marly
2759,https://boardgamegeek.com/boardgame/42328/pax-baltica,Pax Baltica,2,2,840,60,840,2009,7.35611,5.8585,288,https://cf.geekdo-images.com/original/img/NNN3Ho2dc7vLfX_o0tcwXZtSJBo=/0x0/pic1490502.jpg,12,"Action Point Allowance System, Area Movement, Dice Rolling, Secret Unit Deployment, Simulation","Age of Reason, Wargame","Göran Björkman, Stefan Ekström"
2760,https://boardgamegeek.com/boardgame/194230/attack-titan-deck-building-game,Attack on Titan: Deck-Building Game,1,5,90,60,90,2016,7.07726,5.8582,379,https://cf.geekdo-images.com/original/img/4Up1a2tMqyRRS7Rmwa4i9twY6J8=/0x0/pic3062097.png,15,"Co-operative Play, Deck / Pool Building","Card Game, Fantasy, Movies / TV / Radio theme",Matt Hyra
2761,https://boardgamegeek.com/boardgame/7571/winds-plunder,Winds of Plunder,3,5,120,120,120,2007,6.45144,5.85812,694,https://cf.geekdo-images.com/original/img/ogk0Cf8aS07oNxleTP7dDzLOlyE=/0x0/pic1188010.jpg,10,"Action Point Allowance System, Auction/Bidding, Take That, Voting",Pirates,Al Newman
2762,https://boardgamegeek.com/boardgame/2073/sixth-fleet,Sixth Fleet,2,2,360,360,360,1985,6.91326,5.85799,444,https://cf.geekdo-images.com/original/img/r58rzkmQxDuhsdWw5K_O-JrMnQc=/0x0/pic48153.jpg,12,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment, Simulation","Modern Warfare, Nautical, Wargame",Joseph M. Balkoski
2763,https://boardgamegeek.com/boardgame/155025/magnates-game-power,The Magnates: A Game of Power,2,5,90,90,90,2014,6.79932,5.8576,440,https://cf.geekdo-images.com/original/img/4Pxk4qjiqww3ynMRHyTP5fLhX9Q=/0x0/pic2074601.jpg,10,"Area Control / Area Influence, Auction/Bidding, Hand Management","Card Game, Novel-based, Political, Renaissance","Jaro Andruszkiewicz, Waldek Gumienny"
2764,https://boardgamegeek.com/boardgame/150783/antidote,Antidote,2,7,30,20,30,2013,6.40431,5.85715,815,https://cf.geekdo-images.com/original/img/ycB0jYJysb_L9jTJuZMzjP8C3qQ=/0x0/pic2056454.jpg,13,"Hand Management, Partnerships, Simultaneous Action Selection, Variable Phase Order","Card Game, Deduction, Medical, Print & Play",Dennis Hoyle
2765,https://boardgamegeek.com/boardgame/227273/cosmogenesis,Cosmogenesis,2,4,60,60,60,2017,7.68526,5.85677,230,https://cf.geekdo-images.com/original/img/GAWaHeY4VOv-8mgEAAx-t9J4BOA=/0x0/pic3575260.jpg,12,Simulation,Space Exploration,Yves Tourigny
2766,https://boardgamegeek.com/boardgame/206490/infamous-traffic,An Infamous Traffic,2,5,90,45,90,2016,7.30377,5.85659,272,https://cf.geekdo-images.com/original/img/HF3aAcxtL6kuRb-MCGg_xtYfZeE=/0x0/pic3135977.jpg,14,"Chit-Pull System, Dice Rolling, Partnerships, Route/Network Building, Simulation","Economic, Industry / Manufacturing, Political",Cole Wehrle
2767,https://boardgamegeek.com/boardgame/92643/artus,Artus,2,4,60,60,60,2011,6.29583,5.85652,904,https://cf.geekdo-images.com/original/img/QGn4Sm-9ttG1zh5u5_gfZxwA-Io=/0x0/pic947044.jpg,9,Hand Management,Medieval,"Michael Kiesling, Wolfgang Kramer"
2768,https://boardgamegeek.com/boardgame/4556/pattons-best,Patton's Best,1,1,90,90,90,1987,6.61032,5.85648,628,https://cf.geekdo-images.com/original/img/9czNu52w9KGCGLw2NpzYM1aMVAY=/0x0/pic258004.jpg,12,"Area Control / Area Influence, Area Movement, Dice Rolling, Role Playing, Simulation","Wargame, World War II",Bruce Shelley
